model,feature,importance
DecisionTreeClassifier,nom_pipeline__Year_2017,0.2668808277127072
DecisionTreeClassifier,nom_pipeline__Ward_Pediatric General,0.13768975899564126
DecisionTreeClassifier,nom_pipeline__Year_2011,0.1118167765502021
DecisionTreeClassifier,nom_pipeline__Age Group_Unknown,0.07233124326820926
DecisionTreeClassifier,nom_pipeline__Ward_ICU,0.0532814855027706
DecisionTreeClassifier,nom_pipeline__Phenotype_ESBL,0.04600408880285672
DecisionTreeClassifier,nom_pipeline__Sex_Male,0.033292209638796
DecisionTreeClassifier,nom_pipeline__Year_2014,0.03143608261864947
DecisionTreeClassifier,nom_pipeline__In_out_patient_Unknown,0.028369147729025112
DecisionTreeClassifier,nom_pipeline__Specimen type_Urinary & Genital,0.025643704895059218
DecisionTreeClassifier,nom_pipeline__Age Group_65 to 84 Years,0.018401609337746025
DecisionTreeClassifier,nom_pipeline__Ward_Nursing Home / Rehab,0.017928911187912913
DecisionTreeClassifier,nom_pipeline__Phenotype_NDM-Neg,0.01700193092741328
DecisionTreeClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.016333422499903594
DecisionTreeClassifier,nom_pipeline__Specimen type_Musculoskeletal & Bone,0.015460053378674583
DecisionTreeClassifier,nom_pipeline__Ward_Emergency Room,0.01533467444812169
DecisionTreeClassifier,nom_pipeline__Specimen type_General Fluid,0.015186767942912523
DecisionTreeClassifier,nom_pipeline__Phenotype_TEM-52,0.014443459250783781
DecisionTreeClassifier,nom_pipeline__Phenotype_CTX-M-15,0.012529078921593722
DecisionTreeClassifier,nom_pipeline__Year_2012,0.012167408393462526
DecisionTreeClassifier,nom_pipeline__Age Group_19 to 64 Years,0.00945825166755646
DecisionTreeClassifier,nom_pipeline__Ward_Unknown,0.008242387515865417
DecisionTreeClassifier,nom_pipeline__Age Group_85 and Over,0.007667337224060837
DecisionTreeClassifier,nom_pipeline__Ward_Surgery General,0.007157195241428507
DecisionTreeClassifier,nom_pipeline__In_out_patient_Outpatient,0.0059421863486471575
DecisionTreeClassifier,nom_pipeline__Phenotype_CTX-M-14,0.0
DecisionTreeClassifier,nom_pipeline__Phenotype_CTX-M-27,0.0
DecisionTreeClassifier,nom_pipeline__Phenotype_GIM-Neg,0.0
DecisionTreeClassifier,nom_pipeline__Phenotype_SPM-Neg,0.0
DecisionTreeClassifier,nom_pipeline__Phenotype_TEM-OSBL,0.0
DecisionTreeClassifier,nom_pipeline__Age Group_13 to 18 Years,0.0
DecisionTreeClassifier,nom_pipeline__Age Group_3 to 12 Years,0.0
DecisionTreeClassifier,nom_pipeline__Ward_Medicine General,0.0
DecisionTreeClassifier,nom_pipeline__Ward_Pediatric ICU,0.0
DecisionTreeClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.0
