model,subset_accuracy,hamming_loss,f1_micro,f1_macro,f1_weighted,jaccard_micro,stage
DecisionTreeClassifier,0.1680327868852459,0.19954462659380692,0.7425381903642774,0.3939219620948815,0.7094798586570166,0.590505560228016,base
ExtraTreeClassifier,0.17295081967213113,0.1970856102003643,0.7455315145813735,0.39304125686044383,0.7102369190255634,0.5943007124109486,base
ExtraTreesClassifier,0.17418032786885246,0.1943078324225865,0.7498387758691446,0.3934962600845513,0.7124324798647772,0.5997936597261302,base
RandomForestClassifier,0.1819672131147541,0.18966302367941712,0.7607009480034472,0.40382336100052263,0.7248262948171166,0.6138154844691701,base
KNeighborsClassifier,0.1594262295081967,0.19612932604735883,0.7499564586357039,0.3966781321402409,0.7152910316658534,0.5999442689949842,base
DecisionTreeClassifier,0.2532786885245902,0.1693078324225865,0.7962962962962963,0.3777198225570086,0.7345953959837306,0.6615384615384615,tuned
ExtraTreeClassifier,0.2483606557377049,0.1703551912568306,0.794371461551146,0.38265372068808834,0.7338064145654652,0.6588857481535516,tuned
ExtraTreesClassifier,0.2372950819672131,0.16698542805100183,0.7930703684893629,0.3766641687622354,0.7310322551187625,0.6570974378155975,tuned
RandomForestClassifier,0.23770491803278687,0.16762295081967213,0.7933531690338517,0.3753435414856676,0.7307292854689568,0.6574858099934866,tuned
KNeighborsClassifier,0.19549180327868854,0.17659380692167578,0.77728003675626,0.3740369443571304,0.7204256488772738,0.6356975105683419,tuned
