model,subset_accuracy,hamming_loss,f1_micro,f1_macro,f1_weighted,jaccard_micro,stage
DecisionTreeClassifier,0.17540983606557378,0.2896857923497268,0.6506302001812341,0.4195405616294376,0.610140849213031,0.4821733821733822,base
ExtraTreeClassifier,0.17540983606557378,0.2916666666666667,0.6480382459610946,0.4128908649386415,0.6059768527465226,0.47933178880624316,base
ExtraTreesClassifier,0.18401639344262294,0.28244535519125685,0.6594745944165363,0.41372549233072603,0.6108921183895266,0.49195232829585944,base
RandomForestClassifier,0.1901639344262295,0.276775956284153,0.6750601443464315,0.42626808669703303,0.6264806916881506,0.5095024815397652,base
KNeighborsClassifier,0.16393442622950818,0.2883879781420765,0.6573051948051948,0.42557665650167026,0.6148005498961073,0.48954177245798575,base
DecisionTreeClassifier,0.24221311475409837,0.24330601092896176,0.7203642644057152,0.40609545462065816,0.6389904673157162,0.5629447852760736,tuned
ExtraTreeClassifier,0.25081967213114753,0.2515710382513661,0.7256202041272443,0.4001032256603347,0.6385309655561398,0.5693908570092365,tuned
ExtraTreesClassifier,0.23483606557377049,0.2474726775956284,0.7195603374874217,0.4001048427150829,0.6353906261746463,0.5619634868818765,tuned
RandomForestClassifier,0.23524590163934425,0.2465846994535519,0.7179246757305829,0.3993935847260181,0.6345821667238947,0.5599707459775719,tuned
KNeighborsClassifier,0.19672131147540983,0.2568306010928962,0.6992,0.3999671482034846,0.6241149712271912,0.5375153751537516,tuned
