model,feature,importance
DecisionTreeClassifier,nom_pipeline__Phenotype_MSSA,0.8336328266506082
DecisionTreeClassifier,nom_pipeline__Specimen type_Skin & Soft Tissue,0.031207633600831734
DecisionTreeClassifier,nom_pipeline__Age Group_65 to 84 Years,0.019933643057330624
DecisionTreeClassifier,nom_pipeline__Age Group_85 and Over,0.013154757766405263
DecisionTreeClassifier,nom_pipeline__Age Group_19 to 64 Years,0.012206688206465775
DecisionTreeClassifier,nom_pipeline__Sex_Male,0.01203763609432541
DecisionTreeClassifier,nom_pipeline__In_out_patient_Outpatient,0.010425171618344017
DecisionTreeClassifier,nom_pipeline__Year_2016,0.006912741425090513
DecisionTreeClassifier,nom_pipeline__Year_2015,0.006722249624456671
DecisionTreeClassifier,nom_pipeline__Year_2017,0.006189054785911525
DecisionTreeClassifier,nom_pipeline__Specimen type_Respiratory,0.005998598543757033
DecisionTreeClassifier,nom_pipeline__Ward_Pediatric General,0.0058316369941379615
DecisionTreeClassifier,nom_pipeline__Ward_Medicine General,0.0056870450372501
DecisionTreeClassifier,nom_pipeline__In_out_patient_Unknown,0.005199679843665753
DecisionTreeClassifier,nom_pipeline__Ward_Surgery General,0.003543548437723107
DecisionTreeClassifier,nom_pipeline__Specimen type_Urinary & Genital,0.003216547793039844
DecisionTreeClassifier,nom_pipeline__Age Group_13 to 18 Years,0.003196638711808555
DecisionTreeClassifier,nom_pipeline__Ward_ICU,0.002691223872241973
DecisionTreeClassifier,nom_pipeline__Specimen type_Gastrointestinal,0.00254973053597401
DecisionTreeClassifier,nom_pipeline__Age Group_3 to 12 Years,0.0024653379016603386
DecisionTreeClassifier,nom_pipeline__Ward_Pediatric ICU,0.0023516615379654705
DecisionTreeClassifier,nom_pipeline__Specimen type_General Fluid,0.0023454055096305674
DecisionTreeClassifier,nom_pipeline__Ward_Unknown,0.001674364544454365
DecisionTreeClassifier,nom_pipeline__Age Group_Unknown,0.0008261779069211231
DecisionTreeClassifier,nom_pipeline__Specimen type_HEENT & CNS,0.0
ExtraTreeClassifier,nom_pipeline__Phenotype_MSSA,0.8915600605228127
ExtraTreeClassifier,nom_pipeline__Specimen type_Skin & Soft Tissue,0.0320161664735657
