model,subset_accuracy,hamming_loss,f1_micro,f1_macro,f1_weighted,jaccard_micro,stage
DecisionTreeClassifier,0.4038390092879257,0.14729102167182662,0.7332866152768045,0.4383429575347599,0.6894757375996708,0.5788891347643284,base
ExtraTreeClassifier,0.4045820433436533,0.14704334365325078,0.7338544731164719,0.4397656659751969,0.6900280979328199,0.5795972560300952,base
ExtraTreesClassifier,0.4053250773993808,0.14673374613003096,0.734116855067179,0.43852963778280063,0.6898839796269742,0.5799246620873033,base
RandomForestClassifier,0.4058204334365325,0.146687306501548,0.7363089937666963,0.4433656816783764,0.6940454540918097,0.5826653747908042,base
KNeighborsClassifier,0.3924458204334365,0.16009287925696594,0.7106323447118075,0.4519366309985235,0.6853436958453153,0.5511479536478452,base
DecisionTreeClassifier,0.406687306501548,0.14520123839009288,0.7363539265838439,0.439262183121538,0.6909174044917308,0.5827216513190089,tuned
ExtraTreeClassifier,0.41213622291021673,0.1436996904024768,0.7465530892510989,0.4403154541029143,0.6958318747287967,0.5956000871269875,tuned
ExtraTreesClassifier,0.40024767801857586,0.14247678018575852,0.7416348529081518,0.4240840187214438,0.6822584489573776,0.5893637904880878,tuned
RandomForestClassifier,0.4026006191950464,0.14207430340557275,0.7409101174345076,0.42329903555425785,0.6814045237046226,0.5884489484776467,tuned
KNeighborsClassifier,0.40941176470588236,0.14967492260061918,0.7232605397979336,0.44424221416694243,0.687417515285737,0.5664903156384505,tuned
