model,subset_accuracy,hamming_loss,f1_micro,f1_macro,f1_weighted,jaccard_micro,stage
DecisionTreeClassifier,0.15554179566563467,0.2535139318885449,0.49131852772169593,0.26254799792463257,0.43207383199073024,0.3256608745779461,base
ExtraTreeClassifier,0.15603715170278637,0.2532507739938081,0.4911353032659409,0.2606845560860754,0.43126617415432716,0.32549989692846837,base
ExtraTreesClassifier,0.15616099071207432,0.2529876160990712,0.49149008992190174,0.26087237109055517,0.43153195903913216,0.32581164143393426,base
RandomForestClassifier,0.1538080495356037,0.2531269349845201,0.4988046343407099,0.26677971027323905,0.4391020667818017,0.33227163216137856,base
KNeighborsClassifier,0.16160990712074302,0.28253869969040246,0.47260748959778087,0.29303705537372504,0.44899125949096674,0.3094211123723042,base
DecisionTreeClassifier,0.13547987616099072,0.2528173374613003,0.513696998570748,0.2646098390481286,0.44135783360930275,0.3456206426797019,tuned
ExtraTreeClassifier,0.12470588235294118,0.25405572755417954,0.5133436128573123,0.2628724798096952,0.43969784250898464,0.3453007818733046,tuned
ExtraTreesClassifier,0.1311455108359133,0.25037151702786375,0.5050492686210907,0.2588041272031866,0.4332472925035969,0.3378367313518382,tuned
RandomForestClassifier,0.14055727554179567,0.2518575851393189,0.5052906835319874,0.263798600689499,0.4382917657090838,0.3380528093087595,tuned
KNeighborsClassifier,0.16111455108359132,0.2612693498452012,0.487738254218769,0.271530801243939,0.4399285065155756,0.32252237787500504,tuned
